Symbol,Company Name,Industry,Market Cap
DOX,Amdocs Limited,Software - Infrastructure,9.75B
DOYU,DouYu International Holdings Limited,Internet Content & Information,306.58M
DPCS,DP Cap Acquisition Corp I,Shell Companies,109.87M
DPRO,Draganfly Inc.,Aerospace & Defense,16.83M
DPSI,"Decisionpoint Systems, Inc.",Software - Application,76.96M
DPZ,"Domino's Pizza, Inc.",Restaurants,18.08B
DQ,Daqo New Energy Corp.,Semiconductor Equipment & Materials,1.19B
DRCT,"Direct Digital Holdings, Inc.",Advertising Agencies,55.01M
DRD,DRDGOLD Limited,Gold,746.79M
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,1.77B
DRI,"Darden Restaurants, Inc.",Restaurants,17.73B
DRIO,DarioHealth Corp.,Health Information Services,47.47M
DRMA,"Dermata Therapeutics, Inc.",Biotechnology,2.18M
DRQ,"Dril-Quip, Inc.",Oil & Gas Equipment & Services,654.68M
DRRX,DURECT Corporation,Drug Manufacturers - Specialty & Generic,36.12M
DRS,"Leonardo DRS, Inc.",Aerospace & Defense,5.94B
DRTS,Alpha Tau Medical Ltd.,Biotechnology,179.05M
DRUG,Bright Minds Biosciences Inc.,Biotechnology,4.75M
DRVN,Driven Brands Holdings Inc.,Auto & Truck Dealerships,1.87B
DSGN,"Design Therapeutics, Inc.",Biotechnology,259.85M
DSGR,"Distribution Solutions Group, Inc.",Industrial Distribution,1.64B
DSGX,The Descartes Systems Group Inc.,Software - Application,8.38B
DSP,Viant Technology Inc.,Software - Application,553.04M
DSS,"DSS, Inc.",Packaging & Containers,11.57M
DSWL,"Deswell Industries, Inc.",Electronic Components,37.21M
DSX,Diana Shipping Inc.,Marine Shipping,373.83M
DT,"Dynatrace, Inc.",Software - Application,13.68B
DTC,"Solo Brands, Inc.",Internet Retail,115.92M
DTCK,Davis Commodities Limited,Farm Products,26.99M
DTE,DTE Energy Company,Utilities - Regulated Electric,23.85B
DTI,Drilling Tools International Corp.,Oil & Gas Equipment & Services,165.51M
DTIL,"Precision BioSciences, Inc.",Biotechnology,70.75M
DTM,"DT Midstream, Inc.",Oil & Gas Midstream,6.32B
DTSS,Datasea Inc.,Software - Infrastructure,208.38M
DTST,Data Storage Corporation,Information Technology Services,38.61M
DUET,DUET Acquisition Corp.,Shell Companies,42.13M
DUK,Duke Energy Corporation,Utilities - Regulated Electric,79.41B
DUO,Fangdd Network Group Ltd.,Real Estate Services,29.98M
DUOL,"Duolingo, Inc.",Software - Application,8.21B
DUOT,"Duos Technologies Group, Inc.",Software - Application,18.58M
DV,"DoubleVerify Holdings, Inc.",Software - Application,3.22B
DVA,DaVita Inc.,Medical Care Facilities,12.01B
DVAX,Dynavax Technologies Corporation,Drug Manufacturers - Specialty & Generic,1.43B
DVN,Devon Energy Corporation,Oil & Gas Exploration & Production,31.71B
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,44.29M
DX,"Dynex Capital, Inc.",REIT - Mortgage,789.82M
DXC,DXC Technology Company,Information Technology Services,3.55B
DXCM,"DexCom, Inc.",Medical Devices,50.58B
DXF,Dunxin Financial Holdings Limited,Credit Services,578.59K
DXLG,"Destination XL Group, Inc.",Apparel Retail,187.30M
DXPE,"DXP Enterprises, Inc.",Industrial Distribution,812.02M
DXR,Daxor Corporation,Medical Instruments & Supplies,45.23M
DXYN,"The Dixie Group, Inc.",Textile Manufacturing,11.71M
DY,"Dycom Industries, Inc.",Engineering & Construction,4.37B
DYAI,"Dyadic International, Inc.",Biotechnology,43.74M
DYCQ,DT Cloud Acquisition Corporation,Shell Companies,91.06M
DYN,"Dyne Therapeutics, Inc.",Biotechnology,2.11B
DYNT,Dynatronics Corporation,Medical Devices,2.33M
DZSI,DZS Inc.,Communication Equipment,54.61M
E,Eni S.p.A.,Oil & Gas Integrated,50.94B
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,33.93B
EAF,GrafTech International Ltd.,Electrical Equipment & Parts,444.90M
EARN,Ellington Residential Mortgage REIT,Asset Management,140.32M
EAST,"Eastside Distilling, Inc.",Beverages - Wineries & Distilleries,2.51M
EAT,"Brinker International, Inc.",Restaurants,2.62B
EB,"Eventbrite, Inc.",Software - Application,541.21M
EBAY,eBay Inc.,Internet Retail,25.76B
EBC,"Eastern Bankshares, Inc.",Banks - Regional,2.43B
EBF,"Ennis, Inc.",Business Equipment & Supplies,532.50M
EBMT,"Eagle Bancorp Montana, Inc.",Banks - Regional,105.66M
EBON,Ebang International Holdings Inc.,Computer Hardware,50.67M
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Renewable,17.06B
EBS,Emergent BioSolutions Inc.,Drug Manufacturers - Specialty & Generic,225.16M
EBTC,"Enterprise Bancorp, Inc.",Banks - Regional,313.84M
EC,Ecopetrol S.A.,Oil & Gas Integrated,24.04B
ECBK,"ECB Bancorp, Inc.",Banks - Regional,107.67M
ECDA,"ECD Automotive Design, Inc.",Auto Manufacturers,36.68M
ECL,Ecolab Inc.,Specialty Chemicals,66.61B
ECO,Okeanis Eco Tankers Corp.,Marine Shipping,1.05B
ECOR,"electroCore, Inc.",Medical Devices,41.30M
ECPG,"Encore Capital Group, Inc.",Mortgage Finance,1.11B
ECVT,Ecovyst Inc.,Specialty Chemicals,1.14B
ECX,"ECARX Holdings, Inc.",Auto Parts,544.29M
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,33.88B
EDAP,EDAP TMS S.A.,Medical Distribution,260.99M
EDBL,Edible Garden AG Incorporated,Farm Products,2.14M
EDIT,"Editas Medicine, Inc.",Biotechnology,439.13M
EDN,Empresa Distribuidora y Comercializadora Norte SA,Utilities - Regulated Electric,1.13B
EDR,"Endeavor Group Holdings, Inc.",Entertainment,7.99B
EDRY,EuroDry Ltd.,Marine Shipping,61.18M
EDSA,"Edesa Biotech, Inc.",Biotechnology,14.78M
EDTK,Skillful Craftsman Education Technology Limited,Education & Training Services,13.98M
EDU,New Oriental Education & Technology Group Inc.,Education & Training Services,13.94B
EDUC,Educational Development Corporation,Publishing,18.77M
EE,"Excelerate Energy, Inc.",Oil & Gas Midstream,490.31M
EEFT,"Euronet Worldwide, Inc.",Software - Infrastructure,5.20B
EEIQ,EpicQuest Education Group International Limited,Education & Training Services,13.39M
EEX,"Emerald Holding, Inc.",Advertising Agencies,357.52M
EFC,Ellington Financial Inc.,REIT - Mortgage,1.01B
EFOI,"Energy Focus, Inc.","Furnishings, Fixtures & Appliances",7.37M
EFSC,Enterprise Financial Services Corp,Banks - Regional,1.49B
EFSH,1847 Holdings LLC,Conglomerates,11.96M
EFTR,"eFFECTOR Therapeutics, Inc.",Biotechnology,9.60M
EFX,Equifax Inc.,Consulting Services,29.85B
EFXT,Enerflex Ltd.,Oil & Gas Equipment & Services,607.39M
EG,"Everest Group, Ltd.",Insurance - Reinsurance,16.71B
EGAN,eGain Corporation,Software - Application,178.79M
EGBN,"Eagle Bancorp, Inc.",Banks - Regional,600.47M
EGHT,"8x8, Inc.",Software - Application,326.45M
EGIO,"Edgio, Inc.",Software - Infrastructure,2.11B
EGO,Eldorado Gold Corporation,Gold,3.14B
EGP,"EastGroup Properties, Inc.",REIT - Industrial,7.87B
EGRX,"Eagle Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,58.57M
EGY,"VAALCO Energy, Inc.",Oil & Gas Exploration & Production,646.41M
EH,EHang Holdings Limited,Aerospace & Defense,1.07B
EHAB,"Enhabit, Inc.",Medical Care Facilities,414.79M
EHC,Encompass Health Corporation,Medical Care Facilities,8.70B
EHTH,"eHealth, Inc.",Insurance Brokers,149.99M
EIG,"Employers Holdings, Inc.",Insurance - Specialty,1.10B
EIX,Edison International,Utilities - Regulated Electric,28.71B
EJH,E-Home Household Service Holdings Limited,Personal Services,10.01M
EKSO,"Ekso Bionics Holdings, Inc.",Medical Instruments & Supplies,23.28M
EL,The Estée Lauder Companies Inc.,Household & Personal Products,47.44B
ELA,Envela Corporation,Luxury Goods,119.82M
ELAB,"Elevai Labs, Inc.",Biotechnology,11.44M
ELAN,Elanco Animal Health Incorporated,Drug Manufacturers - Specialty & Generic,8.34B
ELBM,Electra Battery Materials Corporation,Other Industrial Metals & Mining,25.82M
ELDN,"Eledon Pharmaceuticals, Inc.",Biotechnology,53.70M
ELEV,"Elevation Oncology, Inc.",Biotechnology,190.69M
ELF,"e.l.f. Beauty, Inc.",Household & Personal Products,9.05B
ELLO,Ellomay Capital Ltd.,Utilities - Renewable,190.22M
ELMD,"Electromed, Inc.",Medical Devices,148.78M
ELME,Elme Communities,REIT - Residential,1.37B
ELP,Cia Paranaense De Energia Copel,Utilities - Diversified,5.03B
ELPC,Cia Paranaense De Energia Copel,Utilities - Diversified,17.10B
ELS,"Equity LifeStyle Properties, Inc.",REIT - Residential,12.25B
ELSE,"Electro-Sensors, Inc.",Scientific & Technical Instruments,14.05M
ELTK,Eltek Ltd.,Electronic Components,69.86M
ELTX,"Elicio Therapeutics, Inc.",Biotechnology,96.89M
ELUT,Elutia Inc.,Medical Devices,92.79M
ELV,Elevance Health Inc.,Healthcare Plans,126.01B
ELVA,Electrovaya Inc.,Electrical Equipment & Parts,109.08M
ELVN,"Enliven Therapeutics, Inc.",Biotechnology,1.09B
ELWS,"Earlyworks Co., Ltd",Software - Application,8.75M
ELYM,"Eliem Therapeutics, Inc.",Biotechnology,238.98M
EM,Smart Share Global Limited,Personal Services,272.55M
EMBC,Embecta Corp.,Medical Instruments & Supplies,803.23M
EMCG,Embrace Change Acquisition Corp.,Shell Companies,83.44M
EME,"EMCOR Group, Inc.",Engineering & Construction,17.95B
EMKR,EMCORE Corporation,Semiconductors,21.81M
EML,The Eastern Company,Tools & Accessories,179.59M
EMLD,FTAC Emerald Acquisition Corp.,Shell Companies,152.39M
EMN,Eastman Chemical Company,Specialty Chemicals,11.91B
EMR,Emerson Electric Co.,Specialty Industrial Machinery,66.17B
EMX,EMX Royalty Corporation,Other Industrial Metals & Mining,214.95M
ENB,Enbridge Inc.,Oil & Gas Midstream,80.12B
ENFN,"Enfusion, Inc.",Software - Application,829.71M
ENG,ENGlobal Corporation,Engineering & Construction,8.51M
ENGN,enGene Holdings Inc.,Biotechnology,628.44M
ENIC,Enel Chile S.A.,Utilities - Regulated Electric,4.27B
ENLC,"EnLink Midstream, LLC",Oil & Gas Midstream,6.10B
ENLT,Enlight Renewable Energy Ltd,Utilities - Renewable,2.15B
ENLV,Enlivex Therapeutics Ltd.,Biotechnology,26.86M
ENOV,Enovis Corporation,Specialty Industrial Machinery,2.80B
ENPH,"Enphase Energy, Inc.",Solar,14.64B
ENR,"Energizer Holdings, Inc.",Electrical Equipment & Parts,2.15B
ENS,EnerSys,Electrical Equipment & Parts,3.90B
ENSC,"Ensysce Biosciences, Inc.",Biotechnology,3.81M
ENSG,"The Ensign Group, Inc.",Medical Care Facilities,6.77B
ENSV,Enservco Corporation,Oil & Gas Equipment & Services,5.69M
ENTA,"Enanta Pharmaceuticals, Inc.",Biotechnology,268.68M
ENTG,"Entegris, Inc.",Semiconductor Equipment & Materials,19.61B
ENTX,Entera Bio Ltd.,Biotechnology,86.83M
ENV,"Envestnet, Inc.",Software - Application,3.65B
ENVA,"Enova International, Inc.",Credit Services,1.69B
ENVB,"Enveric Biosciences, Inc.",Biotechnology,7.21M
ENVX,Enovix Corporation,Electrical Equipment & Parts,1.47B
ENZ,"Enzo Biochem, Inc.",Diagnostics & Research,53.79M
EOG,"EOG Resources, Inc.",Oil & Gas Exploration & Production,74.68B
EOLS,"Evolus, Inc.",Drug Manufacturers - Specialty & Generic,792.65M
EOSE,"Eos Energy Enterprises, Inc.",Electrical Equipment & Parts,140.04M
EP,Empire Petroleum Corporation,Oil & Gas Exploration & Production,208.59M
EPAC,Enerpac Tool Group Corp.,Specialty Industrial Machinery,2.06B
EPAM,"EPAM Systems, Inc.",Information Technology Services,10.79B
EPC,Edgewell Personal Care Company,Household & Personal Products,1.98B
EPD,Enterprise Products Partners L.P.,Oil & Gas Midstream,62.47B
EPIX,ESSA Pharma Inc.,Biotechnology,263.88M
EPM,Evolution Petroleum Corporation,Oil & Gas Exploration & Production,185.35M
EPOW,"Sunrise New Energy Co., Ltd.",Electrical Equipment & Parts,17.48M
EPR,EPR Properties,REIT - Specialty,3.14B
EPRT,"Essential Properties Realty Trust, Inc.",REIT - Diversified,4.73B
EPRX,Eupraxia Pharmaceuticals Inc.,Biotechnology,106.87M
EPSN,Epsilon Energy Ltd.,Oil & Gas Exploration & Production,117.24M
EQ,"Equillium, Inc.",Biotechnology,61.17M
EQBK,"Equity Bancshares, Inc.",Banks - Regional,525.13M
EQC,Equity Commonwealth,REIT - Office,2.05B
EQH,"Equitable Holdings, Inc.",Insurance - Diversified,12.86B
EQIX,"Equinix, Inc.",REIT - Specialty,71.78B
EQNR,Equinor ASA,Oil & Gas Integrated,84.57B
EQR,Equity Residential,REIT - Residential,25.36B
EQS,"Equus Total Return, Inc.",Asset Management,19.70M
EQT,EQT Corporation,Oil & Gas Exploration & Production,17.14B
EQX,Equinox Gold Corp.,Gold,1.76B
ERAS,"Erasca, Inc.",Biotechnology,318.98M
ERF,Enerplus Corporation,Oil & Gas Exploration & Production,4.07B
ERIC,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,17.66B
ERIE,Erie Indemnity Company,Insurance Brokers,18.87B
ERII,"Energy Recovery, Inc.",Pollution & Treatment Controls,808.93M
ERJ,Embraer S.A.,Aerospace & Defense,4.79B
ERNA,Eterna Therapeutics Inc.,Biotechnology,11.36M
ERO,Ero Copper Corp.,Copper,2.21B
ES,Eversource Energy,Utilities - Regulated Electric,21.72B
ESAB,ESAB Corporation,Metal Fabrication,6.65B
ESBA,"Empire State Realty OP, L.P.",REIT - Office,1.53B
ESCA,"Escalade, Incorporated",Leisure,188.24M
ESE,ESCO Technologies Inc.,Scientific & Technical Instruments,2.73B
ESEA,Euroseas Ltd.,Marine Shipping,268.51M
ESGL,ESGL Holdings Ltd,Waste Management,8.13M
ESGR,Enstar Group Limited,Insurance - Diversified,4.68B
ESHA,ESH Acquisition Corp.,Shell Companies,151.90M
ESI,Element Solutions Inc,Specialty Chemicals,5.78B
ESLA,"Estrella Immunopharma, Inc.",Biotechnology,38.81M
ESLT,Elbit Systems Ltd.,Aerospace & Defense,8.81B
ESNT,Essent Group Ltd.,Insurance - Specialty,6.05B
ESOA,Energy Services of America Corporation,Engineering & Construction,107.39M
ESP,Espey Mfg. & Electronics Corp.,Electrical Equipment & Parts,68.56M
ESPR,"Esperion Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,362.53M
ESQ,"Esquire Financial Holdings, Inc.",Banks - Regional,412.32M
ESRT,"Empire State Realty Trust, Inc.",REIT - Diversified,1.55B
ESS,"Essex Property Trust, Inc.",REIT - Residential,16.54B
ESSA,"ESSA Bancorp, Inc.",Banks - Regional,172.39M
ESTA,Establishment Labs Holdings Inc.,Medical Devices,1.57B
ESTC,Elastic N.V.,Software - Application,10.68B
ET,Energy Transfer LP,Oil & Gas Midstream,53.78B
ETD,Ethan Allen Interiors Inc.,"Furnishings, Fixtures & Appliances",770.74M
ETN,Eaton Corporation plc,Specialty Industrial Machinery,132.99B
ETNB,"89bio, Inc.",Biotechnology,817.20M
ETON,"Eton Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,87.22M
ETR,Entergy Corporation,Utilities - Regulated Electric,23.95B
ETRN,Equitrans Midstream Corporation,Oil & Gas Midstream,5.65B
ETSY,"Etsy, Inc.",Internet Retail,7.25B
ETWO,"E2open Parent Holdings, Inc.",Software - Application,1.51B
EU,enCore Energy Corp.,Uranium,867.06M
EUDA,EUDA Health Holdings Limited,Health Information Services,49.68M
EURN,Euronav NV,Oil & Gas Midstream,3.81B
EVA,Enviva Inc.,Lumber & Wood Production,42.79M
EVAX,Evaxion Biotech A/S,Biotechnology,20.62M
EVBG,"Everbridge, Inc.",Software - Application,1.44B
EVBN,"Evans Bancorp, Inc.",Banks - Regional,144.68M
EVC,Entravision Communications Corporation,Advertising Agencies,187.53M
EVCM,EverCommerce Inc.,Software - Infrastructure,1.90B
EVE,EVe Mobility Acquisition Corp,Shell Companies,171.63M
EVER,"EverQuote, Inc.",Internet Content & Information,787.22M
EVEX,"Eve Holding, Inc.",Aerospace & Defense,1.42B
EVGN,Evogene Ltd.,Biotechnology,35.02M
EVGO,"EVgo, Inc.",Specialty Retail,548.76M
EVGR,Evergreen Corporation,Shell Companies,124.23M
EVH,"Evolent Health, Inc.",Health Information Services,2.85B
EVI,"EVI Industries, Inc.",Industrial Distribution,272.37M
EVLV,"Evolv Technologies Holdings, Inc.",Security & Protection Services,357.83M
EVO,Evotec SE,Drug Manufacturers - Specialty & Generic,1.83B
EVOK,"Evoke Pharma, Inc.",Drug Manufacturers - Specialty & Generic,4.24M
EVR,Evercore Inc.,Capital Markets,7.53B
EVRG,"Evergy, Inc.",Utilities - Regulated Electric,12.72B
EVRI,Everi Holdings Inc.,Gambling,643.44M
EVTC,"EVERTEC, Inc.",Software - Infrastructure,2.39B
EVTL,Vertical Aerospace Ltd.,Aerospace & Defense,161.25M
EVTV,"Envirotech Vehicles, Inc.",Auto Manufacturers,35.08M
EW,Edwards Lifesciences Corporation,Medical Devices,52.22B
EWBC,"East West Bancorp, Inc.",Banks - Regional,10.79B
EWCZ,"European Wax Center, Inc.",Household & Personal Products,538.09M
EWTX,"Edgewise Therapeutics, Inc.",Biotechnology,1.73B
EXAI,Exscientia plc,Biotechnology,583.25M
EXAS,Exact Sciences Corporation,Diagnostics & Research,9.76B
EXC,Exelon Corporation,Utilities - Regulated Electric,37.61B
EXEL,"Exelixis, Inc.",Biotechnology,6.26B
EXFY,"Expensify, Inc.",Software - Application,153.33M
EXK,Endeavour Silver Corp.,Other Precious Metals & Mining,805.10M
EXLS,"ExlService Holdings, Inc.",Information Technology Services,4.99B
EXP,Eagle Materials Inc.,Building Materials,9.30B
EXPD,"Expeditors International of Washington, Inc.",Integrated Freight & Logistics,16.98B
EXPE,"Expedia Group, Inc.",Travel Services,14.31B
EXPI,"eXp World Holdings, Inc.",Real Estate Services,1.90B
EXPO,"Exponent, Inc.",Engineering & Construction,4.78B
EXR,Extra Space Storage Inc.,REIT - Industrial,30.82B
EXTO,Almacenes Éxito S.A.,Department Stores,764.12M
EXTR,"Extreme Networks, Inc.",Communication Equipment,1.40B
EYE,"National Vision Holdings, Inc.",Specialty Retail,1.13B
EYEN,"Eyenovia, Inc.",Biotechnology,39.36M
EYPT,"EyePoint Pharmaceuticals, Inc.",Biotechnology,637.51M
EZFL,EZFill Holdings Inc.,Software - Application,12.38M
EZGO,EZGO Technologies Ltd.,Recreational Vehicles,4.90M
EZPW,"EZCORP, Inc.",Credit Services,1.06B
F,Ford Motor Company,Auto Manufacturers,46.79B
FA,First Advantage Corporation,Specialty Business Services,2.35B
FAAS,DigiAsia Corp.,Software - Infrastructure,86.07M
FAF,First American Financial Corporation,Insurance - Specialty,5.77B
FAMI,"Farmmi, Inc.",Packaged Foods,5.11M
FANG,"Diamondback Energy, Inc.",Oil & Gas Exploration & Production,35.90B
FANH,Fanhua Inc.,Insurance Brokers,193.39M
FARM,Farmer Bros. Co.,Packaged Foods,67.43M
FARO,"FARO Technologies, Inc.",Scientific & Technical Instruments,363.38M
FAST,Fastenal Company,Industrial Distribution,38.86B
FAT,FAT Brands Inc.,Restaurants,95.93M
FATBB,FAT Brands Inc.,Restaurants,106.62M
FATE,"Fate Therapeutics, Inc.",Biotechnology,484.29M
FATH,Fathom Digital Manufacturing Corporation,Conglomerates,52.86M
FBIN,"Fortune Brands Innovations, Inc.",Building Products & Equipment,9.41B
FBIO,"Fortress Biotech, Inc.",Biotechnology,31.93M
FBIZ,"First Business Financial Services, Inc.",Banks - Regional,289.69M
FBK,FB Financial Corporation,Banks - Regional,1.81B
FBLG,"FibroBiologics, Inc.",Biotechnology,311.49M
FBMS,"The First Bancshares, Inc.",Banks - Regional,796.31M
FBNC,First Bancorp,Banks - Regional,1.31B
FBP,First BanCorp.,Banks - Regional,3.00B
FBRT,"Franklin BSP Realty Trust, Inc.",REIT - Mortgage,1.05B
FBRX,"Forte Biosciences, Inc.",Biotechnology,27.29M
FBYD,"Falcon's Beyond Global, Inc.",Conglomerates,1.36B
FC,Franklin Covey Co.,Education & Training Services,512.20M
FCAP,"First Capital, Inc.",Banks - Regional,94.01M
FCBC,"First Community Bankshares, Inc.",Banks - Regional,648.98M
FCCO,First Community Corporation,Banks - Regional,123.28M
FCEL,"FuelCell Energy, Inc.",Electrical Equipment & Parts,315.94M
FCF,First Commonwealth Financial Corporation,Banks - Regional,1.41B
FCFS,"FirstCash Holdings, Inc",Credit Services,5.48B
FCN,"FTI Consulting, Inc.",Consulting Services,7.88B
FCNCA,"First Citizens BancShares, Inc.",Banks - Regional,25.22B
FCNCO,"First Citizens BancShares, Inc.",Banks - Regional,25.14B
FCPT,"Four Corners Property Trust, Inc.",REIT - Retail,2.24B
FCUV,Focus Universal Inc.,Scientific & Technical Instruments,19.43M
FCX,Freeport-McMoRan Inc.,Copper,74.31B
FDBC,"Fidelity D & D Bancorp, Inc.",Banks - Regional,268.07M
FDMT,"4D Molecular Therapeutics, Inc.",Biotechnology,1.31B
FDP,Fresh Del Monte Produce Inc.,Farm Products,1.16B
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,16.72B
FDUS,Fidus Investment Corporation,Asset Management,630.44M
FDX,FedEx Corporation,Integrated Freight & Logistics,65.18B
FE,FirstEnergy Corp.,Utilities - Regulated Electric,22.97B
FEAM,5E Advanced Materials Inc.,Specialty Chemicals,90.50M
FEBO,Fenbo Holdings Limited,Consumer Electronics,144.92M
FEDU,Four Seasons Education (Cayman) Inc.,Education & Training Services,17.93M
FEIM,"Frequency Electronics, Inc.",Communication Equipment,91.74M
FELE,"Franklin Electric Co., Inc.",Specialty Industrial Machinery,4.72B
FEMY,Femasys Inc.,Medical Instruments & Supplies,27.44M
FENC,Fennec Pharmaceuticals Inc.,Biotechnology,259.08M
FENG,Phoenix New Media Limited,Internet Content & Information,24.06M
FERG,Ferguson plc,Industrial Distribution,44.78B
FET,"Forum Energy Technologies, Inc.",Oil & Gas Equipment & Services,235.36M
FEXD,Fintech Ecosystem Development Corp.,Shell Companies,78.99M
FF,FutureFuel Corp.,Specialty Chemicals,239.38M
FFBC,First Financial Bancorp.,Banks - Regional,2.24B
FFIC,Flushing Financial Corporation,Banks - Regional,361.91M
FFIE,Faraday Future Intelligent Electric Inc.,Auto Manufacturers,1.88M
FFIN,"First Financial Bankshares, Inc.",Banks - Regional,4.41B
FFIV,"F5, Inc.",Software - Infrastructure,10.07B
FFNW,"First Financial Northwest, Inc.",Banks - Regional,190.64M
FFWM,First Foundation Inc.,Banks - Regional,297.54M
FG,"F&G Annuities & Life, Inc.",Insurance - Life,5.23B
FGBI,"First Guaranty Bancshares, Inc.",Banks - Regional,136.55M
FGEN,"FibroGen, Inc.",Biotechnology,119.37M
FGF,Fundamental Global Inc.,Insurance - Diversified,36.03M
FGI,FGI Industries Ltd.,"Furnishings, Fixtures & Appliances",9.86M
FHB,"First Hawaiian, Inc.",Banks - Regional,2.82B
FHI,"Federated Hermes, Inc.",Asset Management,2.79B
FHLT,Future Health ESG Corp.,Shell Companies,70.94M
FHN,First Horizon Corporation,Banks - Regional,8.64B
FHTX,Foghorn Therapeutics Inc.,Biotechnology,228.90M
FI,"Fiserv, Inc.",Information Technology Services,90.31B
FIAC,Focus Impact Acquisition Corp.,Shell Companies,82.59M
FIBK,"First Interstate BancSystem, Inc.",Banks - Regional,2.90B
FICO,Fair Isaac Corporation,Software - Application,33.19B
FIGS,"FIGS, Inc.",Apparel Manufacturing,881.35M
FIHL,Fidelis Insurance Holdings Limited,Insurance - Diversified,2.18B
FINV,FinVolution Group,Credit Services,1.34B
FINW,FinWise Bancorp,Banks - Regional,134.75M
FIP,FTAI Infrastructure Inc.,Conglomerates,780.20M
FIS,"Fidelity National Information Services, Inc.",Information Technology Services,41.64B
FISI,"Financial Institutions, Inc.",Banks - Regional,286.85M
FITB,Fifth Third Bancorp,Banks - Regional,26.49B
FIVE,"Five Below, Inc.",Specialty Retail,7.72B
FIVN,"Five9, Inc.",Software - Infrastructure,3.96B
FIX,"Comfort Systems USA, Inc.",Engineering & Construction,12.25B
FIZZ,National Beverage Corp.,Beverages - Non-Alcoholic,4.49B
FKWL,Franklin Wireless Corp.,Communication Equipment,34.85M
FL,"Foot Locker, Inc.",Apparel Retail,2.27B
FLEX,Flex Ltd.,Electronic Components,12.11B
FLFV,Feutune Light Acquisition Corporation,Shell Companies,87.85M
FLGC,Flora Growth Corp.,Drug Manufacturers - Specialty & Generic,17.94M
FLGT,"Fulgent Genetics, Inc.",Diagnostics & Research,648.01M
FLIC,The First of Long Island Corporation,Banks - Regional,236.08M
FLJ,FLJ Group Limited,Real Estate Services,1.88M
FLL,"Full House Resorts, Inc.",Resorts & Casinos,176.21M
FLNC,"Fluence Energy, Inc.",Utilities - Renewable,3.04B
FLNG,FLEX LNG Ltd.,Oil & Gas Midstream,1.54B
FLNT,"Fluent, Inc.",Advertising Agencies,57.58M
FLO,"Flowers Foods, Inc.",Packaged Foods,5.33B
FLR,Fluor Corporation,Engineering & Construction,6.61B
FLS,Flowserve Corporation,Specialty Industrial Machinery,6.54B
FLUT,Flutter Entertainment plc,Gambling,36.49B
FLUX,"Flux Power Holdings, Inc.",Electrical Equipment & Parts,55.52M
FLWS,"1-800-FLOWERS.COM, Inc.",Specialty Retail,598.53M
FLXS,"Flexsteel Industries, Inc.","Furnishings, Fixtures & Appliances",182.11M
FLYW,Flywire Corporation,Software - Infrastructure,2.10B
FLYX,"flyExclusive, Inc.",Airlines,723.20M
FMAO,"Farmers & Merchants Bancorp, Inc.",Banks - Regional,301.23M
FMBH,"First Mid Bancshares, Inc.",Banks - Regional,780.45M
FMC,FMC Corporation,Agricultural Inputs,8.38B
FMNB,Farmers National Banc Corp.,Banks - Regional,474.96M
FMS,Fresenius Medical Care AG & Co. KGaA,Medical Care Facilities,12.72B
FMX,"Fomento Económico Mexicano, SAB de CV",Beverages - Brewers,26.09B
FN,Fabrinet,Electronic Components,8.06B
FNA,"Paragon 28, Inc.",Medical Devices,642.82M
FNB,F.N.B. Corporation,Banks - Regional,5.02B
FNCB,"FNCB Bancorp, Inc.",Banks - Regional,110.46M
FNCH,"Finch Therapeutics Group, Inc.",Biotechnology,3.18M
FND,"Floor & Decor Holdings, Inc.",Home Improvement Retail,12.95B
FNF,"Fidelity National Financial, Inc.",Insurance - Specialty,14.19B
FNGR,"FingerMotion, Inc.",Telecom Services,166.04M
FNKO,"Funko, Inc.",Leisure,358.91M
FNLC,"The First Bancorp, Inc.",Banks - Regional,260.56M
FNV,Franco-Nevada Corporation,Gold,24.51B
FNVT,Finnovate Acquisition Corp.,Shell Companies,102.67M
FNWB,First Northwest Bancorp,Banks - Regional,101.14M
FNWD,Finward Bancorp,Banks - Regional,105.33M
FOA,Finance Of America Companies Inc.,Credit Services,64.48M
FOLD,"Amicus Therapeutics, Inc.",Biotechnology,2.73B
FONR,FONAR Corporation,Diagnostics & Research,108.26M
FOR,Forestar Group Inc.,Real Estate - Development,1.71B
FORA,Forian Inc.,Health Information Services,84.37M
FORD,"Forward Industries, Inc.",Footwear & Accessories,5.63M
FORL,Four Leaf Acquisition Corporation,Shell Companies,74.18M
FORM,"FormFactor, Inc.",Semiconductors,4.33B
FORR,"Forrester Research, Inc.",Consulting Services,363.61M
FORTY,Formula Systems (1985) Ltd.,Information Technology Services,1.29B
FOSL,"Fossil Group, Inc.",Luxury Goods,48.96M
FOUR,"Shift4 Payments, Inc.",Software - Infrastructure,3.91B
